First Letter	Second Letter	% probability Second Letter follows First Letter
x	f	0.225623883
w	f	0.105651423
v	f	0.000937898
u	f	0.592723227
t	f	0.072671999
s	f	0.146939422
r	f	0.370945600
q	f	0.001161151
p	f	0.039845447
o	f	10.468067369
n	f	0.555147090
m	f	0.174903013
l	f	1.299280325
k	f	0.269904751
j	f	0.013546771
i	f	2.204253788
h	f	0.045861791
g	f	0.029976352
f	f	4.692570014
e	f	0.919987320
d	f	0.085310998
c	f	0.005279640
b	f	0.005265456
a	f	0.799861138
_	f	3.871956648
z	e	45.318941986
y	e	5.578963673
x	e	8.238612418
w	e	15.659743952
v	e	68.613209849
u	e	3.318923629
t	e	8.871554799
s	e	10.584582933
r	e	22.799550244
q	e	0.007455814
p	e	18.257343585
o	e	0.445510336
n	e	8.479178685
m	e	25.876157656
l	e	16.270751700
k	e	32.900518656
j	e	20.193887711
i	e	3.856866817
h	e	47.415049018
g	e	14.235863816
f	e	8.054664864
e	e	2.873208399
d	e	12.848423006
c	e	15.821029643
b	e	31.185721899
a	e	0.079607242
_	e	2.200153398
z	d	0.045002915
y	d	0.175268474
x	d	0.003289278
w	d	0.264649726
v	d	0.011888010
u	d	2.277599669
t	d	0.007163155
s	d	0.064429791
r	d	2.660372085
q	d	0.002688982
p	d	0.015052863
o	d	1.778665994
n	d	16.259638868
m	d	0.011985232
l	d	6.739625081
k	d	0.049334233
j	d	0.011929782
i	d	3.997332333
h	d	0.038411194
g	d	0.075152142
f	d	0.008652152
e	d	7.855197252
d	d	0.962371941
c	d	0.031463886
b	d	0.074747148
a	d	4.560407024
_	d	3.163016734
z	c	0.077065695
y	c	0.231144517
x	c	12.341986189
w	c	0.018906806
v	c	0.007730194
u	c	4.307975973
t	c	0.354668350
s	c	1.561246835
r	c	1.189263689
q	c	0.004216813
p	c	0.021140189
o	c	1.174429681
n	c	3.703611401
m	c	0.170834311
l	c	0.169381932
k	c	0.022386838
j	c	0.027309141
i	c	5.893770010
h	c	0.012803087
g	c	0.003545774
f	c	0.014581600
e	c	2.150118937
d	c	0.036323651
c	c	1.759728974
b	c	0.062846846
a	c	3.850604671
_	c	4.386648429
z	b	0.158876106
y	b	0.441734460
x	b	0.073015109
w	b	0.058976586
v	b	0.000537649
u	b	2.131514824
t	b	0.027167873
s	b	0.118728466
r	b	0.303194357
q	b	0.022611894
p	b	0.060145897
o	b	0.818025450
n	b	0.060693348
m	b	2.519279484
l	b	0.134610283
k	b	0.100577364
j	b	0.007689679
i	b	0.741631846
h	b	0.074894294
g	b	0.025345719
f	b	0.015660598
e	b	0.163774879
d	b	0.038271063
c	b	0.015648039
b	b	0.896109911
a	b	2.048922926
_	b	4.682943604
z	a	15.576831694
y	a	0.703074648
x	a	8.096865113
w	a	20.936192345
v	a	7.797345867
u	a	2.536652860
t	a	3.854330483
s	a	3.851007634
r	a	7.263706077
q	a	0.137810325
p	a	12.066134077
o	a	0.693720866
n	a	2.841425528
m	a	16.698497087
l	a	9.317620409
k	a	1.879825909
j	a	13.907323557
i	a	2.085861413
h	a	15.622513902
g	a	6.304329462
f	a	6.532289394
e	a	4.795099192
d	a	3.077552602
c	a	13.187710080
b	a	8.465960185
a	a	0.021157184
_	a	11.291625661
z	_	7.875294478
y	_	71.248263507
x	_	12.402632244
w	_	11.077271252
v	_	0.548909454
u	_	6.221900808
t	_	24.386446988
s	_	40.803283647
r	_	22.686377228
q	_	0.768315481
p	_	7.653400678
o	_	13.954450437
n	_	26.823473057
m	_	15.315861663
l	_	15.486716802
k	_	31.292068167
j	_	0.177940611
i	_	4.048683517
h	_	10.051430178
g	_	34.324167869
f	_	38.726416771
e	_	35.862676587
d	_	59.443016940
c	_	2.417544430
b	_	1.284774988
a	_	7.837954860
